职位名称,标签,城市,薪资,工作年限,学位要求,工作要求,公司名称,公司类型,人数,Logo,发布时间
Android驱动工程师,"1年,本科,java,多线程,framework,五险一金,员工旅游",深圳深圳龙岗区,1.5-2.5万,1年,本科,https://jobs.51job.com/shenzhen-lgq/140210933.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市安之眼科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 04:00:33
Android Linux驱动开发工程师,"5-7年,本科,android,linux,驱动开发,展锐,高通,外设驱动,员工旅游,节日福利,工作餐,五险,年终奖金,专业培训",深圳深圳福田区,2-3.5万,5-7年,本科,https://jobs.51job.com/shenzhen-ftq/149675429.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市鼎泰富科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-28 16:25:44
Android安卓开发工程师,"3-4年,本科,java,kotlin,五险一金,专业培训,年终奖金,绩效奖金,弹性工作,交通补贴",上海上海嘉定区,1.5-2.5万,3-4年,本科,https://jobs.51job.com/shanghai-jdq/142222896.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海荣灿信息科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_07_small.png,2023-11-29 10:18:49
Android/安卓开发工程师,"2年,本科,计算机,数据库,需求分析,开发,英语,代码编写,android,调优,安卓开发,技术验证,五险一金,年终奖金,餐饮补贴,专业培训,补充医疗保险",上海上海浦东新区张江,1.5-2.5万·13薪,2年,本科,https://jobs.51job.com/shanghai-pdxq/152218417.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,才纵（上海）工程技术有限公司,外资（欧美）,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:30:54
Android开发工程师,"3-4年,本科,计算机,java,电子,c++,wifi,androidapp,framework,高通平台,阅读英文文档,平台功能开发,五险一金,绩效奖金,年终奖金,定期体检,专业培训",深圳深圳龙华区,1.5-3万,3-4年,本科,https://jobs.51job.com/shenzhen-lhq/152058935.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市中诺通讯有限公司,国企,10000人以上,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-29 10:16:25
Android应用（安卓应用）开发工程师,"2年,本科,android,安卓,应用,开发工程师,MMI,五险一金,交通补贴,餐饮补贴,员工旅游,通讯补贴,绩效奖金,年终奖金,定期体检,专业培训,股票期权",上海上海闵行区浦江镇,1-2万,2年,本科,https://jobs.51job.com/shanghai-mhq/132851212.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海隽梦智能科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 13:01:59
Android/安卓开发工程师,"3-4年,本科,java,数据库,开发,网络,android,国家法定假,股权激励,五险一金,员工旅游,专业培训,绩效奖金,年终奖金,通讯补贴",深圳深圳宝安区西乡,1.2-2万,3-4年,本科,https://jobs.51job.com/shenzhen-baq/152254626.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市东峰盛科技有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 04:00:18
Android/安卓开发工程师,"3-4年,大专,需求分析,软件开发,编程,设计模式,android,http,tcp,风险管理,软件设计,性能调优,五险一金,补充医疗保险,餐饮补贴,年终奖金,专业培训",安徽省合肥,1.2-1.6万,3-4年,大专,https://jobs.51job.com/hefei/152253806.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳万科祥盈管理服务有限公司,民营,,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 09:41:12
Android工程师,"5-7年,本科,java,单元测试,android,编码,需求设计,kotlin,线程池,rxjava,内存优化,五险一金,年终奖金,弹性工作,节日福利",四川省成都高新区,1.5-2.5万,5-7年,本科,https://jobs.51job.com/chengdu-gxq/152262899.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,东莞市猎声电子科技有限公司,民营,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/19/18369/18368381/1676002109240_small.png?1676002109,2023-11-29 15:06:59
Android/安卓开发工程师/APP开发工程师,"3-4年,大专,mysql,springcloud,设计模式,android,开发,五险,员工旅游,专业培训",内蒙古呼和浩特赛罕区,1-1.5万,3-4年,大专,https://jobs.51job.com/huhhot-shq/152161161.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,内蒙古维网科技有限责任公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_09_small.png,2023-11-29 14:32:18
Android Framework开发工程师,"2年,大专,java,c++,android,wms,系统框架,cts,framework,ams,vts,gms,周末双休,五险一金,专业培训,团建,试用期无折扣,绩效奖金",江苏省南京雨花台区,1.5-1.8万,2年,大专,https://jobs.51job.com/nanjing-yhtq/152221390.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,湖北赫兆科技有限公司,已上市,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_004_small.png,2023-11-29 04:00:18
Android应用工程师,"2年,本科,软件,android,五险一金,企业年金,误餐补助,职称津贴,带薪年假",深圳深圳,25-30万/年,2年,本科,https://jobs.51job.com/shenzhen/150842209.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,天地（常州）自动化股份有限公司,国企,500-1000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_004_small.png,2023-11-29 04:00:18
安卓(Android)开发工程师（MMI）,"2年,本科,android,安卓,开发工程师,MMI,五险一金,交通补贴,餐饮补贴,员工旅游,通讯补贴,绩效奖金,年终奖金,定期体检,专业培训,股票期权",上海上海闵行区浦江镇,1-2万,2年,本科,https://jobs.51job.com/shanghai-mhq/86884613.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海隽梦智能科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_006_small.png,2023-11-29 13:01:59
Android/安卓开发工程师,"2年,本科,java,c++,android,嵌入式开发,modbus协议,软硬件交互,软件设计方案,USB/串口通信,图形化,周末双休,五险一金,年终奖金,专业培训",广东省广州增城区,1.5-2.5万,2年,本科,https://jobs.51job.com/guangzhou-zcq/152234293.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,广东三恩时智能科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 04:00:18
Android/安卓开发工程师,"3-4年,本科",江苏省常州,6千-1.2万,3-4年,本科,https://jobs.51job.com/changzhou/152050927.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,北京韵盈科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_male_002_small.png,2023-11-27 04:14:15
Android开发工程师,"3-4年,大专,安卓,安卓开发,开发工程师,车载,高通,RK,Android,年终奖金,有薪年假,五险一金,员工旅游",深圳深圳宝安区,1-1.8万·13薪,3-4年,大专,https://jobs.51job.com/shenzhen-baq/138706693.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳卓兴威科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_005_small.png,2023-11-29 04:00:33
